user_id,segment,engagement_score,past_purchase_count,avg_order_value,email_opened,clicked,converted,campaign_cost,revenue
1,medium,0.4574542081109768,2,606.3955845045848,0,0,0,10,0.0
2,low,0.2367178296875107,3,458.50441208671873,0,0,0,10,0.0
3,low,0.42727369660109016,7,301.9146152504693,0,0,0,10,0.0
4,medium,0.43600175442395683,0,463.6129201536687,0,0,0,10,0.0
5,high,0.9478598739248685,0,337.3569241083423,1,0,0,10,0.0
6,high,0.6352537723906766,1,541.5671974096576,1,0,0,10,0.0
7,high,0.9107193748834523,1,332.6102071651212,1,1,0,10,0.0
8,low,0.4237738165273682,0,401.16289375858986,0,0,0,10,0.0
9,medium,0.3727270611349355,1,463.7665541725137,1,0,0,10,0.0
10,low,0.21517326618610022,5,654.3950604761145,0,0,0,10,0.0
11,high,0.6661999098654622,0,392.71098842850824,0,0,0,10,0.0
12,low,0.3533020644971089,6,501.2404983146586,0,0,0,10,0.0
13,low,0.26767388403082837,3,557.9976576957259,0,0,0,10,0.0
14,medium,0.5541293386833284,4,648.4060553220697,0,0,0,10,0.0
15,high,0.6785947867824844,0,577.779475172141,1,0,0,10,0.0
16,high,0.6846983448209678,7,609.3906951632465,0,0,0,10,0.0
17,medium,0.3165989302039625,4,586.4307058851541,0,0,0,10,0.0
18,medium,0.4288270140782919,0,379.0877028603861,0,0,0,10,0.0
19,medium,0.52389786453347,2,535.9692104317047,0,0,0,10,0.0
20,medium,0.6431739655989315,8,584.8660952172222,1,1,0,10,0.0
21,medium,0.5667709789834723,3,404.349971032598,0,0,0,10,0.0
22,high,0.7741585293599006,2,442.02401232759775,0,0,0,10,0.0
23,medium,0.6812480457576551,3,419.68077048729435,1,0,0,10,0.0
24,medium,0.5876980802303327,4,577.2622985968034,0,0,0,10,0.0
25,medium,0.67206608114502,1,493.0718879670868,0,0,0,10,0.0
26,low,0.26379398663608283,5,467.9154105664903,1,1,0,10,0.0
27,high,0.7035617099172559,1,371.8330083347012,1,0,0,10,0.0
28,medium,0.3211306745458888,5,493.2605746806208,0,0,0,10,0.0
29,medium,0.5904339405935402,2,443.2411645015251,0,0,0,10,0.0
30,high,0.6485211992022136,1,524.3339565264163,1,1,0,10,0.0
31,medium,0.42111005130878687,0,385.7032801354549,0,0,0,10,0.0
32,high,0.8129883631535589,2,517.7906259506201,1,1,1,10,588.3448439018158
33,high,0.8257666351118991,1,456.10492295011795,1,0,0,10,0.0
34,low,0.300291598493568,2,375.07030742648533,1,0,0,10,0.0
35,low,0.08312766517485032,0,367.27159621218533,0,0,0,10,0.0
36,low,0.18986870241082437,3,382.2979611977306,0,0,0,10,0.0
37,medium,0.5468776908467866,6,479.3600942559458,1,0,0,10,0.0
38,high,0.9879275458535139,2,512.09954343635,1,1,1,10,546.4217846714845
39,medium,0.5910524550798755,0,526.9823632377181,0,0,0,10,0.0
40,medium,0.6690415028375831,2,530.7552917728448,1,1,1,10,571.6536648728346
41,high,0.9048848233256708,1,424.14767390208,0,0,0,10,0.0
42,medium,0.5366867875569601,6,605.8402908095176,0,0,0,10,0.0
43,high,0.6768093476545378,4,455.7774473991847,0,0,0,10,0.0
44,low,0.3333428259462565,1,545.0149760059732,1,0,0,10,0.0
45,medium,0.5493518263839627,2,483.58445665061834,0,0,0,10,0.0
46,medium,0.5409876681829066,5,537.5621231703042,1,0,0,10,0.0
